Make,Model,Year,Fuel Type,Transmission,Customer ID,Customer Location,Customer Age,Customer Gender,Sale Price,Discount,Taxes,Final Price,Payment Method,Registration Number,Registration Date,Expiry Date,Dealer Name,Dealer Location,Ownership Status,Warranty Period,Loan Status,Insurance Provider
Toyota,Corolla,2024,Petrol,Manual,CUST9953,Los Angeles,60,Female,29569.57,2632.13,2365.57,29303.01,Cash,REG-27118,19-02-2023,20-07-2025,DriveTime,Denver,Used,No Warranty,Rejected,Geico
Audi,A3,2024,Petrol,Automatic,CUST5065,Los Angeles,62,Other,6773.62,3508.26,541.89,3807.25,Financed Loan,REG-35642,09-07-2020,11-04-2022,AutoNation,Los Angeles,Used,No Warranty,Approved,State Farm
Toyota,Camry,2020,Hybrid,Manual,CUST1118,Dallas,42,Male,76560.15,2604.36,6124.81,80080.6,Financed Loan,REG-80040,28-01-2024,24-03-2026,DriveTime,Dallas,New,2 years,Pending,Progressive
Nissan,Sentra,2020,Diesel,Automatic,CUST4834,Denver,39,Other,8181.15,2035.41,654.49,6800.23,Financed Loan,REG-69778,10-12-2023,21-10-2026,CarMax,Denver,Used,No Warranty,Approved,State Farm
Audi,Q7,2019,Petrol,Automatic,CUST7190,Houston,20,Other,17802.69,926.07,1424.22,18300.84,Cash,REG-13914,24-03-2023,05-08-2025,TrueCar,Denver,New,2 years,Pending,Allstate
Audi,A3,2024,Diesel,Manual,CUST2143,New York,53,Female,49462.93,1124.55,3957.03,52295.41,Financed Loan,REG-61189,15-11-2022,15-05-2026,Vroom,Houston,Used,No Warranty,Pending,Liberty Mutual
Audi,Q7,2019,Diesel,Manual,CUST5163,San Francisco,53,Other,26007.51,1648.37,2080.6,26439.74,Cash,REG-21420,01-01-2023,20-10-2026,CarMax,Dallas,Used,No Warranty,Rejected,Geico
Chevrolet,Tahoe,2018,Electric,Manual,CUST7669,New York,31,Male,63364.78,3620.35,5069.18,64813.61,Cash,REG-27670,12-01-2021,26-02-2023,TrueCar,Denver,Used,No Warranty,Approved,State Farm
BMW,X3,2022,Diesel,Automatic,CUST7034,San Francisco,57,Other,24557.74,3144.84,1964.62,23377.52,Cash,REG-65034,13-07-2024,25-04-2028,DriveTime,Chicago,Used,No Warranty,Rejected,State Farm
Toyota,Highlander,2017,Petrol,Manual,CUST7674,San Francisco,67,Male,28598.62,1082,2287.89,29804.51,Cash,REG-18605,11-12-2022,27-08-2025,TrueCar,Dallas,Used,No Warranty,Approved,Progressive
