Make,Model,Fuel Type,Customer ID,Customer Location,Customer Age,Final Price,Registration Number
Toyota,Corolla,Petrol,CUST9953,Los Angeles,60,29303.01,REG-27118
Audi,A3,Petrol,CUST5065,Los Angeles,62,3807.25,REG-35642
Toyota,Camry,Hybrid,CUST1118,Dallas,42,80080.6,REG-80040
Nissan,Sentra,Diesel,CUST4834,Denver,39,6800.23,REG-69778
Audi,Q7,Petrol,CUST7190,Houston,20,18300.84,REG-13914
Audi,A3,Diesel,CUST2143,New York,53,52295.41,REG-61189
Audi,Q7,Diesel,CUST5163,San Francisco,53,26439.74,REG-21420
Chevrolet,Tahoe,Electric,CUST7669,New York,31,64813.61,REG-27670
BMW,X3,Diesel,CUST7034,San Francisco,57,23377.52,REG-65034
Toyota,Highlander,Petrol,CUST7674,San Francisco,67,29804.51,REG-18605
Kia,Seltos,Hybrid,CUST2575,Los Angeles,48,47212.79,REG-33823
Honda,Pilot,Electric,CUST7732,Denver,28,40889.37,REG-83862
Toyota,Rav4,Hybrid,CUST3338,Denver,56,83132.91,REG-74880
Ford,Escape,Electric,CUST6755,New York,30,33823.47,REG-32882
Ford,Focus,Electric,CUST1715,New York,51,45319.28,REG-70244
Kia,Sportage,Hybrid,CUST8413,Seattle,44,66848.04,REG-82142
Audi,Q5,Electric,CUST8233,Miami,63,62054.97,REG-84796
Honda,Civic,Petrol,CUST1145,New York,40,23533.74,REG-71042
Hyundai,Santa Fe,Electric,CUST9605,Miami,42,53833.26,REG-13483
Honda,Pilot,Electric,CUST2422,Houston,29,35487.92,REG-81823
Ford,Fusion,Diesel,CUST4450,Seattle,55,31459.31,REG-41244
Mercedes,C-Class,Diesel,CUST3362,Miami,36,48627.86,REG-41274
Chevrolet,Malibu,Hybrid,CUST3292,Chicago,45,83473.54,REG-53187
Mercedes,GLA,Electric,CUST8575,San Francisco,61,59870.23,REG-65373
Ford,Explorer,Hybrid,CUST8039,Dallas,46,72919.38,REG-56798
Audi,A3,Petrol,CUST1319,Chicago,27,56777.42,REG-99254
Audi,Q5,Electric,CUST2726,Miami,61,36871.96,REG-16629
Hyundai,Elantra,Petrol,CUST7217,Seattle,25,49180.9,REG-61383
Honda,Accord,Electric,CUST2176,Miami,70,62486.66,REG-60244
BMW,5 Series,Diesel,CUST2069,Chicago,21,20757.32,REG-34394
Honda,Civic,Hybrid,CUST7160,Dallas,60,79880.66,REG-92368
Kia,Sorento,Petrol,CUST6671,New York,50,2124.52,REG-12760
Audi,A4,Hybrid,CUST8654,Dallas,21,81038.22,REG-66524
Kia,Soul,Hybrid,CUST3596,San Francisco,27,23404.3,REG-43186
Chevrolet,Traverse,Hybrid,CUST8968,Seattle,29,56618.88,REG-73083
Chevrolet,Traverse,Hybrid,CUST4608,Chicago,37,9800.66,REG-42437
Chevrolet,Malibu,Electric,CUST2640,Miami,59,62565.86,REG-90707
Hyundai,Santa Fe,Electric,CUST5622,Miami,44,61008.3,REG-76321
Nissan,Altima,Electric,CUST6956,Chicago,63,57866.47,REG-44981
Kia,Soul,Petrol,CUST3518,Boston,43,50364.38,REG-64993
Hyundai,Sonata,Hybrid,CUST9398,Houston,60,67118.4,REG-66993
Honda,CR-V,Electric,CUST4401,Los Angeles,64,61335.22,REG-98473
BMW,X3,Hybrid,CUST1792,Denver,57,80837.23,REG-40147
Honda,Civic,Diesel,CUST9216,Miami,24,34373.15,REG-22697
Chevrolet,Tahoe,Hybrid,CUST4497,San Francisco,67,81132.28,REG-44488
Ford,Focus,Electric,CUST9732,Boston,21,79165.28,REG-35654
Nissan,Altima,Diesel,CUST4512,Houston,44,74807.05,REG-37260
Chevrolet,Traverse,Hybrid,CUST9339,San Francisco,23,43757.03,REG-68633
Hyundai,Tucson,Petrol,CUST9477,New York,51,66226.46,REG-18933
Audi,A3,Diesel,CUST2827,Houston,43,24475.12,REG-34241
Honda,Pilot,Petrol,CUST9262,Seattle,49,16253.96,REG-63833
Mercedes,GLA,Electric,CUST2035,San Francisco,27,51312.16,REG-63551
Toyota,Corolla,Electric,CUST4543,Miami,36,66169.32,REG-99200
Audi,Q5,Diesel,CUST3234,Boston,53,76294.15,REG-29619
Chevrolet,Malibu,Petrol,CUST3263,Los Angeles,41,52043.86,REG-44152
Hyundai,Santa Fe,Petrol,CUST9825,Chicago,49,75003.54,REG-44545
Audi,Q5,Petrol,CUST5254,Seattle,65,28005.83,REG-87261
Audi,A4,Hybrid,CUST6507,Seattle,31,61518.53,REG-27126
Mercedes,E-Class,Diesel,CUST8588,Dallas,53,16158.75,REG-16281
Kia,Sorento,Petrol,CUST7851,Seattle,70,12209.18,REG-63928
Audi,Q7,Petrol,CUST9744,San Francisco,37,73948.53,REG-97997
