Make,Model,Year,Sale Price,Final Price,Dealer Name,Dealer Location
Toyota,Corolla,2024,29569.57,29303.01,DriveTime,Denver
Audi,A3,2024,6773.62,3807.25,AutoNation,Los Angeles
Toyota,Camry,2020,76560.15,80080.6,DriveTime,Dallas
Nissan,Sentra,2020,8181.15,6800.23,CarMax,Denver
Audi,Q7,2019,17802.69,18300.84,TrueCar,Denver
Audi,A3,2024,49462.93,52295.41,Vroom,Houston
Audi,Q7,2019,26007.51,26439.74,CarMax,Dallas
Chevrolet,Tahoe,2018,63364.78,64813.61,TrueCar,Denver
BMW,X3,2022,24557.74,23377.52,DriveTime,Chicago
Toyota,Highlander,2017,28598.62,29804.51,TrueCar,Dallas
Kia,Seltos,2022,44236.11,47212.79,Vroom,Houston
Honda,Pilot,2024,41245.7,40889.37,Vroom,Miami
Toyota,Rav4,2023,79630.49,83132.91,AutoNation,Seattle
Ford,Escape,2023,32019.86,33823.47,Local Dealer,Los Angeles
Ford,Focus,2022,46393.1,45319.28,CarMax,Denver
Kia,Sportage,2021,64734.17,66848.04,Local Dealer,Miami
Audi,Q5,2021,58644.33,62054.97,AutoNation,Houston
Honda,Civic,2020,22924.73,23533.74,AutoNation,Dallas
Hyundai,Santa Fe,2018,49986.37,53833.26,Local Dealer,Dallas
Honda,Pilot,2017,33638.2,35487.92,AutoNation,Denver
Ford,Fusion,2016,32661.04,31459.31,TrueCar,San Francisco
Mercedes,C-Class,2019,47153.37,48627.86,AutoNation,Houston
Chevrolet,Malibu,2015,78403.17,83473.54,Local Dealer,Miami
Mercedes,GLA,2017,57475.47,59870.23,TrueCar,Chicago
Ford,Explorer,2021,71565.16,72919.38,TrueCar,Dallas
Audi,A3,2017,54515.07,56777.42,Local Dealer,Houston
Audi,Q5,2022,34387.53,36871.96,DriveTime,San Francisco
Hyundai,Elantra,2017,49711.63,49180.9,CarMax,Boston
Honda,Accord,2017,57936.87,62486.66,Local Dealer,San Francisco
BMW,5 Series,2019,20436.81,20757.32,DriveTime,Los Angeles
Honda,Civic,2024,76332.51,79880.66,Vroom,Boston
Kia,Sorento,2022,6553.47,2124.52,AutoNation,San Francisco
Audi,A4,2020,79132.44,81038.22,TrueCar,San Francisco
Kia,Soul,2023,23386.89,23404.3,TrueCar,San Francisco
Chevrolet,Traverse,2018,55202.3,56618.88,Local Dealer,San Francisco
Chevrolet,Traverse,2018,9178.41,9800.66,TrueCar,Houston
Chevrolet,Malibu,2023,59800.1,62565.86,DriveTime,Chicago
Hyundai,Santa Fe,2015,59379.87,61008.3,CarMax,Seattle
Nissan,Altima,2017,57183.21,57866.47,DriveTime,Miami
Kia,Soul,2023,50178.14,50364.38,Vroom,Denver
